"Name","DisplayName","Status","StartType","Time"
"AarSvc_c5db7c7","Agent Activation Runtime_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"AJRouter","AllJoyn Router Service","Stopped","Manual","12-26-2024 18:05:41"
"ALG","Application Layer Gateway Service","Stopped","Manual","12-26-2024 18:05:41"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Automatic","12-26-2024 18:05:41"
"AppIDSvc","Application Identity","Stopped","Manual","12-26-2024 18:05:41"
"Appinfo","Application Information","Running","Manual","12-26-2024 18:05:41"
"AppReadiness","App Readiness","Stopped","Manual","12-26-2024 18:05:41"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","12-26-2024 18:05:41"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic","12-26-2024 18:05:41"
"Audiosrv","Windows Audio","Running","Automatic","12-26-2024 18:05:41"
"autotimesvc","Cellular Time","Stopped","Manual","12-26-2024 18:05:41"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","12-26-2024 18:05:41"
"BcastDVRUserService_c5db7c7","GameDVR and Broadcast User Service_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual","12-26-2024 18:05:41"
"BFE","Base Filtering Engine","Running","Automatic","12-26-2024 18:05:41"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","12-26-2024 18:05:41"
"BluetoothUserService_c5db7c7","Bluetooth User Support Service_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","12-26-2024 18:05:41"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","12-26-2024 18:05:41"
"BthAvctpSvc","AVCTP service","Stopped","Manual","12-26-2024 18:05:41"
"bthserv","Bluetooth Support Service","Running","Manual","12-26-2024 18:05:41"
"camsvc","Capability Access Manager Service","Running","Manual","12-26-2024 18:05:41"
"CaptureService_c5db7c7","CaptureService_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"cbdhsvc_c5db7c7","Clipboard User Service_c5db7c7","Running","Automatic","12-26-2024 18:05:41"
"CDPSvc","Connected Devices Platform Service","Running","Automatic","12-26-2024 18:05:41"
"CDPUserSvc_c5db7c7","Connected Devices Platform User Service_c5db7c7","Running","Automatic","12-26-2024 18:05:41"
"CertPropSvc","Certificate Propagation","Stopped","Manual","12-26-2024 18:05:41"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","12-26-2024 18:05:41"
"CloudBackupRestoreSvc_c5db7c7","Cloud Backup and Restore Service_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"coccoc","Cốc Cốc Update Service (coccoc)","Stopped","Automatic","12-26-2024 18:05:41"
"CocCocElevationService","CocCoc Elevation Service (CocCocElevationService)","Stopped","Manual","12-26-2024 18:05:41"
"coccocm","Cốc Cốc Update Service (coccocm)","Stopped","Manual","12-26-2024 18:05:41"
"COMSysApp","COM+ System Application","Stopped","Manual","12-26-2024 18:05:41"
"ConsentUxUserSvc_c5db7c7","ConsentUX User Service_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic","12-26-2024 18:05:41"
"CredentialEnrollmentManagerUserSvc_c5db7c7","CredentialEnrollmentManagerUserSvc_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"CryptSvc","Cryptographic Services","Running","Automatic","12-26-2024 18:05:41"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic","12-26-2024 18:05:41"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","12-26-2024 18:05:41"
"defragsvc","Optimize drives","Stopped","Manual","12-26-2024 18:05:41"
"DeviceAssociationBrokerSvc_c5db7c7","DeviceAssociationBroker_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"DeviceAssociationService","Device Association Service","Running","Manual","12-26-2024 18:05:41"
"DeviceInstall","Device Install Service","Stopped","Manual","12-26-2024 18:05:41"
"DevicePickerUserSvc_c5db7c7","DevicePicker_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"DevicesFlowUserSvc_c5db7c7","DevicesFlow_c5db7c7","Running","Manual","12-26-2024 18:05:41"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","12-26-2024 18:05:41"
"Dhcp","DHCP Client","Running","Automatic","12-26-2024 18:05:41"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual","12-26-2024 18:05:41"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","12-26-2024 18:05:41"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic","12-26-2024 18:05:41"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic","12-26-2024 18:05:41"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","12-26-2024 18:05:41"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","12-26-2024 18:05:41"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual","12-26-2024 18:05:41"
"Dnscache","DNS Client","Running","Automatic","12-26-2024 18:05:41"
"DoSvc","Delivery Optimization","Running","Automatic","12-26-2024 18:05:41"
"dot3svc","Wired AutoConfig","Stopped","Manual","12-26-2024 18:05:41"
"DPS","Diagnostic Policy Service","Running","Automatic","12-26-2024 18:05:41"
"DsmSvc","Device Setup Manager","Stopped","Manual","12-26-2024 18:05:41"
"DsSvc","Data Sharing Service","Running","Manual","12-26-2024 18:05:41"
"DusmSvc","Data Usage","Running","Automatic","12-26-2024 18:05:41"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","12-26-2024 18:05:41"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic","12-26-2024 18:05:41"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","12-26-2024 18:05:41"
"EFS","Encrypting File System (EFS)","Running","Manual","12-26-2024 18:05:41"
"embeddedmode","Embedded Mode","Stopped","Manual","12-26-2024 18:05:41"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","12-26-2024 18:05:41"
"EpicOnlineServices","Epic Online Services","Stopped","Manual","12-26-2024 18:05:41"
"EventLog","Windows Event Log","Running","Automatic","12-26-2024 18:05:41"
"EventSystem","COM+ Event System","Running","Automatic","12-26-2024 18:05:41"
